name_and_description,price,goodfortv
Mueller Austria V-Pro Multi Blade Adjustable Mandoline Slicer and Vegetable Julienner with Precise Maximum Adjustability,$29.99,0
"Pregnancy Pillow, Full Body Maternity Pillow with Contoured U-Shape by Bluestone, Back Support",$39.99,0
"Organic Reusable Food Wraps by Etee - Biodegradable, Non-Toxic & Plastic Free",$17.95,0
"BALORAY Lunch Bag for Women Insulated Lunch Box with Adjustable Shoulder Strap,Water-Resistant Leakproof Cooler Lunch Tote Bag for Work/School/Picnic(Black&White Strip)",$17.99,0
Lavatools Javelin PRO Backlit Instant Read Digital Meat Thermometer,$53.99,0
AmazonBasics Micromink Sherpa Comforter Set,$40.99,0
Poo-Pourri Secret Santa 4 oz Custom Bottle,$29.97,0
Coop Home Goods - Premium Adjustable Loft - Shredded Hypoallergenic Certipur Memory Foam Pillow with Washable Removable Cover,$59.99,0
Shark HV292 Handheld Corded Rocket Vacuum,$59.99,0
YouCopia StoreMore,$29.99,0
"Veken French Press Coffee Maker, 304 Stainless Steel Coffee Press with 4 Filter Screens, Durable Easy Clean Heat Resistant Borosilicate Glass - 100% BPA Free",$17.99,0
1790 Glass Food Storage Container Set,$29.99,0
AmazonBasics Enameled Cast Iron Dutch Oven,$35.46,0
"Keurig K-Mini Single Serve Coffee Maker with AmazonFresh 12 Ct. Colombia Medium Roast K-Cup Coffee Pods, 6 to 12 oz Brew Size",$69.98,0
"Keurig K-Mini Single Serve Coffee Maker, Black",$59.99,0
"Seventh Generation Laundry Detergent, Ultra Concentrated EasyDose, Fresh Lavender, 23 Ounce, 2 Pack (132 Loads)",$15.59,0
Glad Food Storage and Freezer 2 in 1 Zipper Bags - Quart - 46 Count - 3 Pack,$11.97,0
"Swiffer Dusters Heavy Duty Extender Handle Starter Kit (1 Handle, 12 Dusters)",$12.59,0
"Collagen Peptides Hydrolyzed Protein Powder 18oz - Supplement For Vital Joint & Bone Support, Glowing Skin, Strong Hair & Nails, Digestive Health - Unflavored, Hormone-Free, Grass Fed & Pasture Raised",$27.90,0
"Tide PODS Laundry Detergent Liquid Pacs with Ultra Oxi, 4 in 1 HE Turbo, 61 Count Tub (Packaging May Vary)",$19.97,0
"Magnesium Glycinate Complex 450 mg Tablets - Formulated for Calm, High Absorption, Muscle Relax & Gentle Digestion, Vegan, Non-GMO, Gluten-Free, Soy Free, Bioavailable, 180 Tablets",$19.94,0
"OFF! FamilyCare Insect Repellent IV Unscented, 6 oz, 2 ct",$9.99,0
"Energizer AA Lithium Batteries, World's Longest Lasting Double A Battery, Ultimate Lithium (12 Count)",$15.98,0
"Babyganics Baby Shampoo and Body Wash, Fragrance Free, 3 Pack",$28.49,0
"Mrs. Meyer's Clean Day Multi-Surface Concentrate, Lemon Verbena, 32 fl oz, 2 ct",$15.98,0
Glad Large Drawstring Trash Bags - ForceFlexPlus 30 Gallon Black Trash Bag - 25 Count,$41.00,0
Glad Plastic Food Wrap Variety Pack - Press'n Seal Wrap - FreezerWrap - ClingWrap - 3 pack,$9.84,0
"Crest 3D White Whitestrips with Light, Teeth Whitening Strips Kit, 10 count",$44.99,0
"Downy Unstopables In-Wash Scent Booster Beads, Spring, 20.1 Ounce",$12.59,0
"Aquaphor Baby Skin Care Set - Fragrance Free, Prevents, Soothes & Treats Diaper Rash - Includes 14 oz. Jar of Advanced Healing Ointment & 3.5 oz Tube of Diaper Rash Cream",$20.99,0
"Seventh Generation Thick & Strong Free and Clear Baby Wipes Refill, Pack of 12 (Total 768 Count)",$29.99,0
"One A Day Mens Multivitamin, Supplement with Vitamins A, C, E, B1, B2, B6, B12, Calcium and Vitamin D, 200 count",$14.97,0
"ACDelco AA Super Alkaline Batteries in Recloseable Package, 100 Count",$22.18,0
"Seventh Generation Paper Towels, 100% Recycled Paper, 2-ply, 6-Count (Pack of 4)",$24.62,0
"Premier Protein 30g Protein Shake, Chocolate, 11.5 Fl Oz, Pack of 12",$21.99,0
"Clorox Disinfecting Wipes Value Pack, Bleach Free Cleaning Wipes, 3 Pack",$14.49,0
"Dawn Ultra Dishwashing Liquid Dish Soap (4x19oz) + Non-Scratch Sponge (2ct), Original Scent (Packaging May Vary)",$10.19,0
"Dawn Platinum Dishwashing Liquid Dish Soap (3x24oz) + Non-Scratch Sponge (2ct), Refreshing Rain",$9.43,0
"Clorox Disinfecting Wipes plus Clorox Disinfecting Wipes with Micro-Scrubbers, Pack of 3",$14.49,0
"Green Works Compostable Cleaning Wipes, Biodegradable Cleaning Wipes - Original Fresh, 186 Count",$14.88,0
"Mrs. Meyers Clean Day Multi-Surface Concentrate, Lavender, 32 fl oz",$15.96,0
Clorox Automatic Toilet Bowl Cleaner Tablets with Bleach - 4 Count (Pack of 2),$17.56,0
"Premier Protein 30g Protein Shake, Cookies & Cream, 11.5 fl oz Shake, (12 count)",$19.19,0
"Clorox ToiletWand Disinfecting Refills, Disposable Wand Heads - 30 Count",$11.64,0
Seventh Generation Baby Wipes with Dispenser Free and Clear 768 count,$29.61,0
BLACK+DECKER LSW221 20V MAX Lithium Cordless Sweeper,$67.97,0
"monyar Garden Hose Expandable Water Hose 75 Feet, Extra Strength/No-Kink Lightweight/Durable/Flexible/10 Function Spray Hose Nozzle 3/4 Solid Brass Connectors Garden Hose for Watering/Washing",$39.99,0
Liberty Garden Products,$17.79,0
"ThermoPro  TP63 Digital Wireless Hygrometer Indoor Outdoor Thermometer Wireless Temperature  and  Humidity Monitor with Cold-  resistant and Waterproof Humidity Gauge, 200ft / 60m Range",$26.99,0
HEAD Speed Kids Tennis Racquet - Beginners Pre-Strung Head Light Balance Jr Racket,$18.55,0
"Macrame Plant Hanger Indoor Outdoor Hanging Plant Holder Hanging Planter Stand Flower Pots for Decorations - Cotton Rope, 4 Legs, 3 Sizes",$8.87,0
"WenTop Led Light Strip Kit SMD 5050 32.8 Ft (10M) 300leds RGB 30leds/m with DC12V UL Listed Power Supply and 44 Key Ir Controller for TV,Bedroom,Kitchen Under Counter, Under Bed Lighting",$29.99,0
"Photo Clips String Lights, LED Photo Hanging Clips String, Photo String Lights with Clips, Fairy Lights with Clips for Pictures",$12.99,0
HECARIM Solar Lights Outdoor Waterproof Security Lights Easy Install Garden Lights for Garden Path Walkway Light 6 Pack,$25.98,0
Char-Broil Performance Cover,$22.99,0
"Kingkong 7573 / 7106 Grill Cover for Weber Spirit 200, 300 Series and Genesis Silver Gas Grill with Grill Brush, Tongs and Thermometer",$45.99,0
Fogo Hardwood Lump Charcoal,$32.95,0
3M Scratch Removal,$18.95,0
Costa Farms,$31.99,0
Grillaholics Essentials Grill Brush,$19.95,0
"GrowGreen Heavy Duty Expandable Hose Set, Strongest Garden Hose On Earth. with All Solid Brass Connector + Storage Sack, 2019 Improved Design",$36.99,0
Cave Tools Meat Shredders Parent,$12.99,0
"ThermoPro TP-60S Digital Hygrometer Indoor Outdoor Thermometer Humidity Monitor, with Temperature Gauge Meter, Wireless, 200ft/60m Range, Thermometer & Hygrometer",$17.99,0
"Costa Farms Jumbo-Mini Haworthia Live Succulent Plant, Grower Choice Assortment, Fully Rooted",$19.99,0
"Veanic 4-Pack Mini Digital Electronic Temperature Humidity Meters Gauge Indoor Thermometer Hygrometer LCD Display Fahrenheit () for Humidors, Greenhouse, Garden, Cellar, Fridge, Closet",$13.99,0
Miracle-GRO,$9.98,0
"Solar Torch Light,Outdoor Waterproof Flickering Flames Torches Landscape Decoration Lighting Dusk to Dawn Auto On/Off Security Warm Lamp for Garden Patio Path Deck Yard Driveway by Aityvert",$36.99,0
Home-Complete BBQ Grill Tool Set- Stainless Steel Barbecue Grilling Accessories Aluminum Storage Case,$18.00,0
"HECARIM Solar Lights Outdoor, 10 Pack Solar Pathway Lights, Solar Powered Garden Lights, Waterproof LED Solar Landscape Lights for Walkway, Pathway, Lawn, Yard and Driveway",$34.98,0
"Clorox Zero Splash Bleach Packs, 4 Pack",$16.76,0
Maybelline Makeup SuperStay Matte Ink Liquid Lipstick,$7.94,0
"HAFUZIYN Bath Toy with Fishing Net, Floating Animals, Catch Net Game Bathroom Pool Accessory, Shark Fishing Play Set for Babies and Kids",$11.99,0
"LED Garage Lights, Barn Light LED Garage Lighting Deformable Light 6000LM, 60W Garage Ceiling LED Lights, LED Light Bulbs, 60W Shop Light for Garage, Working Light (NO Motion Activated)",$38.99,0
"Command Large Picture Hanging Strips, 14 Pairs (36 Strips), Decorate Damage-Free, Holds 16 lbs, Ships in Own Container (PH206-14NA)",$43.00,0
CONNOISSEURS 1050 Diamond Dazzle Stick,$60.07,0
50 Pcs Premium Korean Velvet Hair Scrunchies Hair Bands Scrunchy Hair Ties Ropes Scrunchie for Women or Girls Hair Accessories,$19.99,0
Oral Shine Electric Toothbrush Replacement Heads Compatible with Oral-B Electric Toothbrushes | 4 Floss Action Heads Plus 4 Soft Brush Heads | Remove Plaque And Decrease Gingivitis,$11.20,0
"CHEF GRIDS Durable Plastic Cutting Board Set, Chopping Board Thick Plastic, for Vegetable Meat or Cheese with Non-Slip Feet and Handles with Juice Groove | Dishwasher Safe",$15.99,0
HOUSE AGAIN STURDY STEAMER BASKET,$12.99,0
"Colonel Popper Microwave Popcorn Maker, Healthy Silicone Popcorn Popper",$14.97,0
Stainless Steel Vacuum Insulated Water Bottle | Leak-Proof Double Walled Cola Shape Bottle | Keeps Drinks Cold for 24 Hours & Hot for 10 Hours,$9.99,0
"Spacemax Premium Reusable Vacuum Storage Bags (Jumbo 6 Pack), Save 80% More Storage Space. Double Zip Seal & Leak Valve, Travel Hand Pump Included.",$22.99,0
"Jenaluca Herb Scissors with 5 Blades and Cover - Cool Kitchen Gadgets - Cutter, Chopper and Mincer - Sharp Heavy Duty Shears for Cutting, Shredding and Cooking Fresh Garden Herbs",$14.87,0
"Acko (2 Pack 16 Inches Super Strong Folding Step Stool for Adults and Kids, Kitchen Stepping Stools, Garden Step Stool Black",$35.98,0
"15PC Reusable Mesh Produce Bags, See Through Washable Mesh Shopping Bag for Grocery & Fruit Vegetable Toy Storage with Bright Tare Weight on Tags, Tear-resistant, Eco-Friendly (5S 5M 5L)",$12.99,0
"Drillbrush 4 Piece Drill Brush Cleaning Tool Attachment Kit for Scrubbing/Cleaning Tile, Grout, Shower, Bathtub, and All Other General Purpose Scrubbing",$17.95,0
Linenspa 2 and 3 Inch Gel Infused Memory Foam Mattress Topper,$41.99,0
hblife Stainless Steel Bathroom Toothbrush Holder Toothpaste Holder Stand,$8.99,0
"EXQ Home Satin Pillowcases Hair and Skin Pillow Case with Envelope Closure (Anti Wrinkle,Hypoallergenic,Wash-Resistant)",$7.99,0
"ACDelco AAA Batteries, Alkaline Battery, 24 Count",$7.50,0
"Sleep Eye Mask for Men Women, 3D Contoured Cup Sleeping Mask & Blindfold with Ear Plug Travel Pouch, Concave Molded Night Sleep Mask, Block Out Light, Soft Comfort Eye Shade Cover for Yoga Meditation",$14.99,0
"SmartyPants Kids Complete and Fiber Gummy Vitamins: Multivitamin, Gluten Free, Prebiotic Fiber, Omega 3 Fish Oil (DHA/Epa Fatty Acids), Folate (methlyfolate),Vitamin D3, 120 Count",$20.88,0
"Huggies Snug & Dry Baby Diapers, Size 3 (fits 16-28 lb.), 210 Count, ONE Month Supply (Packaging May Vary)",$36.73,0
"Underarm Whitening Cream,Lightening Cream Effective for Lightening & Brightening Armpit, Knees, Elbows, Sensitive & Private Areas, Whitens, Nourishes, Repairs & Restores Skin by Asavea",$19.79,0
"Huggies Snug & Dry Baby Diapers, Size 4 (fits 22-37 lb.), 184 Count, ONE Month Supply (Packaging May Vary)",$38.62,0
"Joyday Garden Hose, Water Hose, Lightweight Expandable Garden Hose with 3/4in Solid Fittings, Double Latex Core, Extra Strength Fabric, Flexible Expanding Hose for Outdoor Lawn Car Watering Plants",$14.99,0
"Safer Brand SF5026 Houseplant Sticky Stakes Insect Trap, 7 Traps",$8.13,0
"T4U Ceramic Succulent Planter Pot with Bamboo Tray, Small Cactus Plant Pot Container Window Box Home and Office Decoration Desktop Windowsill Ornament Gift for Gardener Wedding Birthday Christmas",$12.93,0
Love Story Rectangle UV Block Sun Shade Sail Perfect for Outdoor Patio Garden,$34.97,0
2 Replacement for Liftmaster 371LM Garage Door Remote Opener,$12.25,0
Super Strong Folding Step Stool - 11in Height - Holds up to 300 Lb - The lightweight foldable step stool is sturdy enough to support adults & safe enough for kids. Skid resistant and open with one flip,$14.97,0
"Made For YOU by BIC Shaving Razor Blades for Men & Women, with 2 Cartridge Refills - 5-Blade Razors for a Smooth Close Shave & Hair Removal, WHITE",$7.99,0
Thermos Replacement Straws for 12-Ounce Funtainer Bottle,$63.40,0
PackIt Freezable Lunch Bag,$23.99,0
Under Armour Lunch Cooler,$20.36,0
"BrMate HOPSULATOR TRO 3-in-1 Stainless Steel Insulated Can Cooler, Works With 12 Oz, 16 Oz Cans And As A Pint Glass",$24.99,0
Brita Extra Large 18 Cup UltraMax Water Dispenser and Filter,$27.63,0
Rachael Ray Jumbo ChillOut Thermal Tote,$24.99,0
GermGuardian Air Purifier Filter FLT4825 GENUINE HEPA Replacement Filter B for AC4825,$54.48,0
Easy-Going Stretch Slipcovers,$26.99,0
Utopia Bedding Comforter Duvet Insert - Quilted Comforter with Corner Tabs - Box Stitched Down Alternative Comforter,$22.99,0
oaskys Mattress Pad Cover with 18in Deep Pocket Cotton Down Mattress Topper for Beds,$39.90,0
Twinkle Star 33ft 100LED Copper Wire String Lights,$8.99,0
Woodstream TERRO Fruit Fly Trap  2 Pack T2502,$18.99,0
NGreen Expandable and Flexible Garden Hose - 25/50/75/100 Feet Strongest Triple Core Latex and Solid Brass Fittings Free Spray Nozzle 3/4 USA Standard Easy Storage Kink Free Water Hose,$28.86,0
"Cutter Citro Guard Candle, Bucket, Tan, 17-Ounce",$5.99,0
Bloem AP0812 Ariana Self Watering Planter-Parent,$12.35,0
"LED Strip Lights 16.4ft, RGB 5050 LEDs Color Changing Kit with 24key Remote Control and Power Supply, Mood Lighting Led Strips for Home Kitchen Christmas Indoor Decoration",$16.99,0
"Solar Ground Lights,8 LED Garden Lights Waterproof Patio Outdoor Light with Light Sensor for Lawn,Pathway,Yard,Driveway,Step and Walkway (8 Pack White)",$32.98,0
"MelodySusie Portable Electric Nail Drill, Compact Efile Electrical Professional Nail File Kit for Acrylic, Gel Nails, Manicure Pedicure Polishing Shape Tools Design for Home Salon Use, Purple",$19.99,0
Real Techniques Miracle Beauty Sponge (Set of 4) Latex-Free Makeup Blender,$13.37,0
Dove Beauty Bar Sensitive Skin 4 Ounce,$57.00,0
"Brita Small 5 Cup Water Filter Pitcher with 1 Standard Filter, BPA Free  Metro, Red",$67.49,0
"Reusable Silicone Food Storage Bags,WOHOME Airtight Seal Food Preservation Bags/Food Grade/Versatile Preservation Bag Container for Vegetable,Liquid,Snack,Meat,Lunch,Fruit,/2xLarge 50oz+4xSmall 30oz",$26.99,0
"Collapsible Reusable Straw, Stainless Steel Drinking Straws Food Grade Portable Folding Straw for Outdoor Travel Household Party",$11.99,0
Leccod 2 Pack Silk Satin Pillowcase for Hair and Skin Cool Super Soft and Luxury Pillow Cases Covers with Envelope Closure,$10.97,0
RENPHO Bluetooth Body Fat Scale Smart Digital Bathroom Weight BMI Scale Body Composition Monitor Analyzer with Smartphone App 396 lbs - White,$25.99,0
"Renu Bausch + Lomb Lens Solution Advanced Triple Disinfect Formula Multi-Purpose, 12 Ounce Bottle Twinpack",$59.00,0
"JT Eaton 709-PN Bait Block Rodenticide Anticoagulant Bait, Peanut Butter Flavor, for Mice and Rats (9 lb Pail of 144)",$25.69,0
SUNNY GUARD Square Sun Shade Sail UV Block for Outdoor Patio Garden,$27.99,0
"KMC 3 Pack Wi-Fi Smart Plug with Energy Monitoring, Compatible with Amazon Alexa Google Home, No Hub Required, Remote Control Outlet with Timing Function, ETL Listed",$32.99,0
"Made For YOU by BIC Shaving Razor Blades for Men & Women, with 2 Cartridge Refills - 5-Blade Razors for a Smooth Close Shave & Hair Removal, TEAL",$7.99,0
"Old Spice Aluminum Free Deodorant for Men, Fresh Long Lasting Stick, Robust Greens Scent, High Endurance, 3 Oz (Pack of 3)",$7.49,0
"Sol De Janeiro Brazilian Bum Bum Cream, 8.1 Fl oz",$45.00,0
"USB Fan, Tencoz USB Desk Fan, Portable Mini USB Fan, Fan USB 3 Speeds Adjustable, Desk Fan USB Desk Fan with USB, USB Table Fan Silent Ideal For Home Office Outdoor Travel USB Powered",$15.99,0
AmazonBasics 65-Piece Stainless Steel Flatware Set,$15.99,0
"Anti Fatigue Comfort Floor Mat By Sky Mats -Commercial Grade Quality Perfect for Standup Desks, Kitchens, and Garages - Relieves Foot, Knee, and Back Pain",$39.97,0
"Bubba Trailblazer Vacuum-Insulated Stainless Steel Water Bottle, 32 oz, Dragon Fruit",$16.99,0
